country,continent,life_expectancy,gdp
Afghanistan,Asia,54.863,15153728226
Albania,Europe,74.2,12886435920
Algeria,Africa,68.96300000000001,155661450046
Angola,Africa,45.234,34063908358
Antigua and Barbuda,N. America,73.544,989182128
Argentina,S. America,73.822,390394524839
Armenia,Europe,71.494,6502871172
Australia,Oceania,79.93,560384787591
Austria,Europe,78.33,256214821696
Azerbaijan,Europe,66.851,20544461359
Bahamas,N. America,72.37,6765011928
Bahrain,Asia,74.497,14049818895
Bangladesh,Asia,65.309,139311695625
Barbados,N. America,73.118,4007849802
Belarus,Europe,68.99,59703160160
Belgium,Europe,77.91,304659978960
Belize,N. America,70.425,1639601040
Benin,Africa,55.261,8518777670
Bhutan,Asia,60.307,1669227564
Bolivia,S. America,62.994,28194799712
Bosnia and Herzegovina,Europe,74.882,21175970634
Botswana,Africa,50.567,17767347975
Brazil,S. America,70.26100000000001,1405170917672
Brunei,Asia,75.92699999999998,15704268720
Bulgaria,Europe,71.59,55298533306
Burkina Faso,Africa,50.589,12306306012
Burundi,Africa,48.25100000000001,2823835721
Cambodia,Asia,62.03,12222903918
Cameroon,Africa,51.96,28267919007
Canada,N. America,79.41,995094659520
Cape Verde,Africa,69.835,1001712258
Central African Rep.,Africa,43.727,2820624534
Chad,Africa,46.708,8362106559
Chile,S. America,77.01,160905821700
China,Asia,72.124,4323880722959
Colombia,S. America,71.02600000000002,228604190334
Comoros,Africa,57.9,613091210
"Congo, Dem. Rep.",Africa,46.387,14490850400
"Congo, Rep.",Africa,52.326,10733750979
Costa Rica,N. America,77.721,30067948960
Cote d'Ivoire,Africa,46.429,28951566138
Croatia,Europe,74.798,47677550206
Cuba,N. America,76.684,67902873995
Cyprus,Europe,78.01100000000002,21526912374
Czech Rep.,Europe,75.05,172316138470
Denmark,Europe,76.9,169822829305
Djibouti,Africa,57.023,1386275420
Dominican Rep.,N. America,70.553,37375056450
Ecuador,S. America,73.35300000000002,69329649168
Egypt,Africa,68.632,313144531551
El Salvador,N. America,69.715,31727169005
Equatorial Guinea,Africa,47.723,2726791200
Eritrea,Africa,56.131,2717673816
Estonia,Europe,70.8,15412701756
Ethiopia,Africa,52.245,33575883264
Fiji,Oceania,67.553,3129984608
Finland,Europe,77.76,140565636270
France,Europe,79.23,1690892657620
Gabon,Africa,59.744,15767037336
Gambia,Africa,55.115,891096708
Georgia,Europe,71.839,11067123980
Germany,Europe,78.14127463,2447907176602
Ghana,Africa,56.996,20449577830
Greece,Europe,78.535,227153806025
Greenland,N. America,67.03,1865931984
Grenada,N. America,70.34100000000001,878672910
Guatemala,N. America,67.768,54882001284
Guinea,Africa,51.257,7560104316
Guinea-Bissau,Africa,51.468,784093960
Guyana,S. America,63.29,2302670241
Haiti,N. America,57.46,11619378624
Honduras,N. America,70.482,19232741043
"Hong Kong, China",Asia,80.361,203309577124
Hungary,Europe,71.86,138781727640
Iceland,Europe,79.72,8743381320
India,Asia,62.129,1736824080336
Indonesia,Asia,67.289,579155145454
Iran,Asia,69.611,561943943400
Iraq,Asia,70.845,94260816558
Ireland,Europe,76.66,117259126060
Israel,Asia,78.75,137345436802
Italy,Europe,79.73,1547748695640
Jamaica,N. America,70.479,17901147232
Japan,Asia,81.35,3590446333290
Jordan,Asia,71.72399999999998,17686479744
Kazakhstan,Asia,63.51300000000001,80257620004
Kenya,Africa,52.864,41192377918
Kiribati,Oceania,64.642,294119010
"Korea, Dem. Rep.",Asia,65.271,38668126455
"Korea, Rep.",Asia,76.11399999999998,781559669880
Kuwait,Asia,73.133,70638788042
Kyrgyzstan,Asia,66.232,7566055950
Laos,Asia,61.68899999999999,8071297080
Latvia,Europe,70.16,20627622828
Lebanon,Asia,74.40899999999998,21686796555
Lesotho,Africa,47.265,2329159308
Liberia,Africa,52.424,1477743510
Libya,Africa,71.872,47807836271
Lithuania,Europe,72.18,33708769668
Luxembourg,Europe,77.82,27838326684
"Macao, China",Asia,77.627,9722189904
"Macedonia, FYR",Europe,73.244,14013409725
Madagascar,Africa,58.485,15779107344
Malawi,Africa,46.04,8006103028
Malaysia,Asia,72.81,237918890349
Maldives,Asia,69.279,938019188
Mali,Africa,49.06100000000001,9646206696
Malta,Europe,77.36399999999998,8058087920
Mauritania,Africa,59.729,4069824220
Mauritius,Africa,71.202,9915063830
Mexico,N. America,74.38,1088959817036
"Micronesia, Fed. Sts.",Oceania,67.3,592279590
Moldova,Europe,67.007,6948597312
Mongolia,Asia,62.87600000000001,4863731273
Montenegro,Europe,74.125,3912668110
Morocco,Africa,68.22,88481614228
Mozambique,Africa,47.472,9864755552
Myanmar,Asia,62.073,46486220440
Namibia,Africa,55.173,7625064458
Nepal,Asia,62.055,25718238724
Netherlands,Europe,78.24,523473225000
New Zealand,Oceania,78.9,84471610640
Nicaragua,N. America,69.682,12633522960
Niger,Africa,50.692,6302236917
Nigeria,Africa,46.629,200251739784
Norway,Europe,78.76,193888346466
Oman,Asia,72.139,43480986252
Pakistan,Asia,63.854,301473292512
Panama,N. America,75.094,21890113030
Papua New Guinea,Oceania,58.749,9794838504
Paraguay,S. America,70.07300000000001,20877206873
Peru,S. America,70.506,149766187617
Philippines,Asia,66.774,200851289070
Poland,Europe,73.91,447372545920
Portugal,Europe,76.84,202682722281
Qatar,Asia,76.68,35690257058
Romania,Europe,70.47,157316840787
Russia,Asia,65.38,1257711920690
Rwanda,Africa,47.6425,5701234176
Saint Lucia,N. America,71.456,1363069008
Saint Vincent and the Grenadines,N. America,70.6,635801663
Samoa,Oceania,69.344,722085410
Sao Tome and Principe,Africa,63.33600000000001,186133200
Saudi Arabia,Asia,72.40100000000002,400925565276
Senegal,Africa,57.817,14363357482
Serbia,Europe,72.072,66952437527
Seychelles,Africa,71.771,1198372550
Sierra Leone,Africa,38.12300000000001,2141990455
Singapore,Asia,78.34,144363496200
Slovak Republic,Europe,73.19,68582078205
Slovenia,Europe,76.11,38514890994
Solomon Islands,Oceania,62.808,736535064
Somalia,Africa,50.902,6518548073
South Africa,Africa,55.892,333643872520
South Sudan,Africa,49.24800000000001,13170876992
Spain,Europe,79.34,943152778370
Sri Lanka,Asia,71.078,56179016748
Sudan,Africa,57.979,50959878770
Suriname,S. America,67.851,2650284742
Swaziland,Africa,48.68899999999999,4277668472
Sweden,Europe,79.84,253754781920
Switzerland,Europe,79.99,246475684488
Syria,Asia,73.316,62914881290
Taiwan,Asia,76.02,521855075000
Tajikistan,Asia,63.57,6178979807
Tanzania,Africa,50.01,28115520986
Thailand,Asia,70.921,352278751762
Timor-Leste,Asia,59.468,2276934127
Togo,Africa,53.585,4266218560
Tonga,Oceania,70.81,478510410
Trinidad and Tobago,N. America,68.533,13561440768
Tunisia,Africa,73.15899999999998,51819521160
Turkey,Asia,70.01,432860345186
Turkmenistan,Asia,63.925,14805167091
Uganda,Africa,48.12600000000001,21331758720
Ukraine,Europe,67.79,180899630400
United Arab Emirates,Asia,74.163,91041131892
United Kingdom,Europe,78.04,1686390207348
United States,N. America,76.8,11231488292980
Uruguay,S. America,74.777,30176948072
Uzbekistan,Asia,66.999,40508122350
Vanuatu,Oceania,67.438,696248388
Venezuela,S. America,72.432,229701899936
Vietnam,Asia,73.777,124201381770
