name,pop_millions
AFGHANISTAN,22.8563 mil
ALBANIA,3.0719 mil
ALGERIA,30.5338 mil
ANGOLA,13.9264 mil
ANTIGUA AND BARBUDA,0.0777 mil
ARGENTINA,36.9307 mil
ARMENIA,3.0761 mil
AUSTRALIA,19.1644 mil
AUSTRIA,8.0047 mil
AZERBAIJAN,8.1107 mil
BAHAMAS,0.2977 mil
BAHRAIN,0.6382 mil
BANGLADESH,129.5923 mil
BARBADOS,0.2675 mil
BELARUS,10.0578 mil
BELGIUM,10.1757 mil
BELIZE,0.2505 mil
BENIN,6.5178 mil
BHUTAN,0.5713 mil
BOLIVIA,8.3072 mil
BOSNIA AND HERZEGOVINA,3.6937 mil
BOTSWANA,1.7579 mil
BRAZIL,174.4254 mil
BRUNEI,0.327 mil
BULGARIA,8.0062 mil
BURKINA FASO,12.294 mil
BURUNDI,6.3743 mil
CAMBODIA,12.4469 mil
CAMEROON,15.6783 mil
CANADA,30.6674 mil
CAPE VERDE,0.4372 mil
CENTRAL AFRICAN REP.,3.7016 mil
CHAD,8.2223 mil
CHILE,15.4198 mil
CHINA,1269.1167 mil
COLOMBIA,39.7642 mil
COMOROS,0.5625 mil
"CONGO, DEM. REP.",49.6262 mil
"CONGO, REP.",3.1358 mil
COSTA RICA,3.9192 mil
COTE D'IVOIRE,16.5817 mil
CROATIA,4.5055 mil
CUBA,11.1043 mil
CYPRUS,0.9433 mil
CZECH REP.,10.2429 mil
DENMARK,5.3395 mil
DJIBOUTI,0.7319 mil
DOMINICAN REP.,8.592 mil
ECUADOR,12.345 mil
EGYPT,67.6484 mil
EL SALVADOR,5.9403 mil
EQUATORIAL GUINEA,0.5204 mil
ERITREA,3.6676 mil
ESTONIA,1.3707 mil
ETHIOPIA,65.5779 mil
FIJI,0.8117 mil
FINLAND,5.1734 mil
FRANCE,59.0478 mil
GABON,1.2353 mil
GAMBIA,1.2971 mil
GEORGIA,4.7458 mil
GERMANY,82.349 mil
GHANA,19.1655 mil
GREECE,10.9869 mil
GREENLAND,0.0562 mil
GRENADA,0.1015 mil
GUATEMALA,11.2371 mil
GUINEA,8.3445 mil
GUINEA-BISSAU,1.2407 mil
GUYANA,0.7331 mil
HAITI,8.6454 mil
HONDURAS,6.2182 mil
"HONG KONG, CHINA",6.7833 mil
