"YEAR","AREA","/ITEMS","A1302_Total population (15-64)[person]","A1303_Total population (65 and over)[person]"
"2022","Hokkaido","","2,924,000","1,686,000"
"2022","Aomori-ken","","663,000","419,000"
"2022","Iwate-ken","","648,000","408,000"
"2022","Miyagi-ken","","1,363,000","659,000"
"2022","Akita-ken","","484,000","359,000"
"2022","Yamagata-ken","","566,000","362,000"
"2022","Fukushima-ken","","1,007,000","586,000"
"2022","Ibaraki-ken","","1,655,000","864,000"
"2022","Tochigi-ken","","1,121,000","572,000"
"2022","Gumma-ken","","1,108,000","589,000"
"2022","Saitama-ken","","4,483,000","2,007,000"
"2022","Chiba-ken","","3,796,000","1,753,000"
"2022","Tokyo-to","","9,301,000","3,202,000"
"2022","Kanagawa-ken","","5,797,000","2,383,000"
"2022","Niigata-ken","","1,195,000","722,000"
"2022","Toyama-ken","","570,000","335,000"
"2022","Ishikawa-ken","","648,000","338,000"
"2022","Fukui-ken","","426,000","235,000"
"2022","Yamanashi-ken","","460,000","252,000"
"2022","Nagano-ken","","1,129,000","657,000"
"2022","Gifu-ken","","1,111,000","604,000"
"2022","Shizuoka-ken","","2,064,000","1,101,000"
"2022","Aichi-ken","","4,628,000","1,920,000"
"2022","Mie-ken","","1,008,000","531,000"
"2022","Shiga-ken","","845,000","378,000"
"2022","Kyoto-fu","","1,512,000","755,000"
"2022","Osaka-fu","","5,349,000","2,432,000"
"2022","Hyogo-ken","","3,151,000","1,608,000"
"2022","Nara-ken","","735,000","423,000"
"2022","Wakayama-ken","","495,000","307,000"
"2022","Tottori-ken","","298,000","180,000"
"2022","Shimane-ken","","350,000","229,000"
"2022","Okayama-ken","","1,063,000","574,000"
"2022","Hiroshima-ken","","1,594,000","826,000"
"2022","Yamaguchi-ken","","704,000","462,000"
"2022","Tokushima-ken","","382,000","246,000"
"2022","Kagawa-ken","","522,000","302,000"
"2022","Ehime-ken","","716,000","443,000"
"2022","Kochi-ken","","360,000","244,000"
"2022","Fukuoka-ken","","3,013,000","1,449,000"
"2022","Saga-ken","","444,000","251,000"
"2022","Nagasaki-ken","","690,000","435,000"
"2022","Kumamoto-ken","","943,000","552,000"
"2022","Oita-ken","","600,000","376,000"
"2022","Miyazaki-ken","","565,000","352,000"
"2022","Kagoshima-ken","","838,000","523,000"
"2022","Okinawa-ken","","884,000","344,000"
"2021","Hokkaido","","2,953,000","1,686,000"
"2021","Aomori-ken","","676,000","419,000"
"2021","Iwate-ken","","659,000","409,000"
"2021","Miyagi-ken","","1,371,000","655,000"
"2021","Akita-ken","","495,000","360,000"
"2021","Yamagata-ken","","576,000","362,000"
"2021","Fukushima-ken","","1,025,000","585,000"
"2021","Ibaraki-ken","","1,664,000","860,000"
"2021","Tochigi-ken","","1,130,000","569,000"
"2021","Gumma-ken","","1,117,000","589,000"
"2021","Saitama-ken","","4,480,000","2,000,000"
"2021","Chiba-ken","","3,800,000","1,748,000"
"2021","Tokyo-to","","9,255,000","3,202,000"
"2021","Kanagawa-ken","","5,789,000","2,376,000"
"2021","Niigata-ken","","1,213,000","723,000"
"2021","Toyama-ken","","575,000","337,000"
"2021","Ishikawa-ken","","652,000","338,000"
"2021","Fukui-ken","","431,000","236,000"
"2021","Yamanashi-ken","","463,000","252,000"
"2021","Nagano-ken","","1,136,000","657,000"
"2021","Gifu-ken","","1,120,000","605,000"
"2021","Shizuoka-ken","","2,079,000","1,099,000"
"2021","Aichi-ken","","4,633,000","1,918,000"
"2021","Mie-ken","","1,016,000","531,000"
"2021","Shiga-ken","","845,000","376,000"
"2021","Kyoto-fu","","1,515,000","758,000"
"2021","Osaka-fu","","5,346,000","2,442,000"
"2021","Hyogo-ken","","3,169,000","1,608,000"
"2021","Nara-ken","","741,000","423,000"
"2021","Wakayama-ken","","502,000","308,000"
"2021","Tottori-ken","","302,000","180,000"
"2021","Shimane-ken","","355,000","229,000"
"2021","Okayama-ken","","1,071,000","575,000"
"2021","Hiroshima-ken","","1,605,000","827,000"
"2021","Yamaguchi-ken","","712,000","465,000"
"2021","Tokushima-ken","","388,000","247,000"
"2021","Kagawa-ken","","526,000","303,000"
"2021","Ehime-ken","","726,000","444,000"
"2021","Kochi-ken","","365,000","245,000"
"2021","Fukuoka-ken","","3,017,000","1,445,000"
"2021","Saga-ken","","448,000","251,000"
"2021","Nagasaki-ken","","700,000","435,000"
"2021","Kumamoto-ken","","951,000","551,000"
"2021","Oita-ken","","605,000","376,000"
"2021","Miyazaki-ken","","571,000","351,000"
"2021","Kagoshima-ken","","850,000","521,000"
"2021","Okinawa-ken","","887,000","339,000"
"2020","Hokkaido","","2,945,727","1,664,023"
"2020","Aomori-ken","","676,167","412,943"
"2020","Iwate-ken","","658,816","404,359"
"2020","Miyagi-ken","","1,346,845","638,984"
"2020","Akita-ken","","500,687","357,568"
"2020","Yamagata-ken","","578,819","359,554"
"2020","Fukushima-ken","","1,020,241","572,825"
"2020","Ibaraki-ken","","1,638,165","839,907"
"2020","Tochigi-ken","","1,115,611","554,381"
"2020","Gumma-ken","","1,096,231","576,729"
"2020","Saitama-ken","","4,335,188","1,934,994"
"2020","Chiba-ken","","3,715,691","1,699,991"
"2020","Tokyo-to","","8,944,193","3,107,822"
"2020","Kanagawa-ken","","5,628,918","2,308,578"
"2020","Niigata-ken","","1,210,917","715,935"
"2020","Toyama-ken","","568,052","333,008"
"2020","Ishikawa-ken","","641,383","333,660"
"2020","Fukui-ken","","427,984","232,684"
"2020","Yamanashi-ken","","453,633","245,884"
"2020","Nagano-ken","","1,118,429","646,942"
"2020","Gifu-ken","","1,105,215","593,751"
"2020","Shizuoka-ken","","2,071,258","1,084,282"
"2020","Aichi-ken","","4,502,713","1,864,603"
"2020","Mie-ken","","997,052","522,073"
"2020","Shiga-ken","","824,781","365,311"
"2020","Kyoto-fu","","1,467,216","734,493"
"2020","Osaka-fu","","5,199,504","2,361,723"
"2020","Hyogo-ken","","3,075,863","1,546,543"
"2020","Nara-ken","","737,675","414,576"
"2020","Wakayama-ken","","503,704","305,500"
"2020","Tottori-ken","","300,002","177,046"
"2020","Shimane-ken","","352,656","227,881"
"2020","Okayama-ken","","1,032,394","557,991"
"2020","Hiroshima-ken","","1,580,054","811,931"
"2020","Yamaguchi-ken","","709,992","459,957"
"2020","Tokushima-ken","","375,657","238,346"
"2020","Kagawa-ken","","518,056","296,533"
"2020","Ehime-ken","","711,738","434,279"
"2020","Kochi-ken","","362,200","241,787"
"2020","Fukuoka-ken","","2,911,353","1,395,142"
"2020","Saga-ken","","443,579","246,061"
"2020","Nagasaki-ken","","706,077","430,353"
"2020","Kumamoto-ken","","944,198","540,538"
"2020","Oita-ken","","596,527","369,192"
"2020","Miyazaki-ken","","568,255","344,543"
"2020","Kagoshima-ken","","832,194","505,891"
"2020","Okinawa-ken","","871,154","324,708"
"2019","Hokkaido","","3,012,000","1,673,000"
"2019","Aomori-ken","","699,000","415,000"
"2019","Iwate-ken","","684,000","406,000"
"2019","Miyagi-ken","","1,382,000","652,000"
"2019","Akita-ken","","512,000","359,000"
"2019","Yamagata-ken","","594,000","360,000"
"2019","Fukushima-ken","","1,053,000","582,000"
"2019","Ibaraki-ken","","1,676,000","843,000"
"2019","Tochigi-ken","","1,146,000","554,000"
