YEAR,AREA,/ITEMS,pop_15-64,pop_65-over,total,pct_15-64,pct_65-over
2019,Hokkaido,,3012000,1673000,4685000,0.6429028815368196,0.3570971184631804
2019,Aomori-ken,,699000,415000,1114000,0.6274685816876122,0.3725314183123878
2019,Iwate-ken,,684000,406000,1090000,0.6275229357798165,0.3724770642201835
2019,Miyagi-ken,,1382000,652000,2034000,0.6794493608652901,0.32055063913470994
2019,Akita-ken,,512000,359000,871000,0.5878300803673938,0.4121699196326062
2019,Yamagata-ken,,594000,360000,954000,0.6226415094339622,0.37735849056603776
2019,Fukushima-ken,,1053000,582000,1635000,0.6440366972477064,0.3559633027522936
2019,Ibaraki-ken,,1676000,843000,2519000,0.66534339023422,0.33465660976578004
2019,Tochigi-ken,,1146000,554000,1700000,0.6741176470588235,0.32588235294117646
2019,Gumma-ken,,1131000,580000,1711000,0.6610169491525424,0.3389830508474576
2019,Saitama-ken,,4508000,1961000,6469000,0.6968619570258154,0.30313804297418456
2019,Chiba-ken,,3777000,1743000,5520000,0.6842391304347826,0.3157608695652174
2019,Tokyo-to,,9158000,3209000,12367000,0.7405191234737608,0.2594808765262392
2019,Kanagawa-ken,,5771000,2329000,8100000,0.7124691358024692,0.2875308641975309
2019,Niigata-ken,,1249000,720000,1969000,0.6343321482986287,0.3656678517013712
2019,Toyama-ken,,587000,337000,924000,0.6352813852813853,0.3647186147186147
2019,Ishikawa-ken,,661000,337000,998000,0.6623246492985972,0.3376753507014028
2019,Fukui-ken,,436000,235000,671000,0.6497764530551415,0.3502235469448584
2019,Yamanashi-ken,,466000,250000,716000,0.6508379888268156,0.34916201117318435
2019,Nagano-ken,,1146000,653000,1799000,0.6370205669816564,0.3629794330183435
2019,Gifu-ken,,1140000,599000,1739000,0.6555491661874641,0.34445083381253594
2019,Shizuoka-ken,,2107000,1089000,3196000,0.659261576971214,0.340738423028786
2019,Aichi-ken,,4669000,1892000,6561000,0.7116293247980491,0.2883706752019509
2019,Mie-ken,,1034000,530000,1564000,0.6611253196930946,0.3388746803069054
2019,Shiga-ken,,852000,368000,1220000,0.6983606557377049,0.3016393442622951
2019,Kyoto-fu,,1531000,753000,2284000,0.6703152364273205,0.3296847635726795
2019,Osaka-fu,,5333000,2434000,7767000,0.6866228917213854,0.31337710827861465
2019,Hyogo-ken,,3202000,1591000,4793000,0.6680575839766326,0.33194241602336744
2019,Nara-ken,,756000,417000,1173000,0.6445012787723785,0.3554987212276215
2019,Wakayama-ken,,511000,306000,817000,0.6254589963280294,0.37454100367197063
2019,Tottori-ken,,308000,178000,486000,0.6337448559670782,0.3662551440329218
2019,Shimane-ken,,360000,231000,591000,0.6091370558375635,0.39086294416243655
2019,Okayama-ken,,1080000,573000,1653000,0.6533575317604355,0.3466424682395644
2019,Hiroshima-ken,,1623000,823000,2446000,0.6635322976287816,0.3364677023712183
2019,Yamaguchi-ken,,735000,466000,1201000,0.6119900083263947,0.38800999167360534
2019,Tokushima-ken,,402000,245000,647000,0.6213292117465224,0.3786707882534776
2019,Kagawa-ken,,535000,305000,840000,0.6369047619047619,0.3630952380952381
2019,Ehime-ken,,739000,442000,1181000,0.6257408975444538,0.37425910245554617
2019,Kochi-ken,,375000,246000,621000,0.6038647342995169,0.3961352657004831
2019,Fukuoka-ken,,3008000,1425000,4433000,0.6785472591924205,0.3214527408075795
2019,Saga-ken,,458000,246000,704000,0.6505681818181818,0.3494318181818182
2019,Nagasaki-ken,,725000,433000,1158000,0.6260794473229706,0.37392055267702934
2019,Kumamoto-ken,,972000,543000,1515000,0.6415841584158416,0.3584158415841584
2019,Oita-ken,,623000,373000,996000,0.6255020080321285,0.3744979919678715
2019,Miyazaki-ken,,584000,346000,930000,0.6279569892473118,0.3720430107526882
2019,Kagoshima-ken,,878000,512000,1390000,0.6316546762589929,0.3683453237410072
2019,Okinawa-ken,,886000,322000,1208000,0.7334437086092715,0.26655629139072845
